Depth (m),del18O,Age (yrs BP),temperature
0.0,-35.04,-39.0,-31.85
0.55,-33.81,-38.065,-30.01
1.1,-36.18,-37.187,-33.55
1.65,-34.92,-36.118,-31.67
2.2,-35.62,-35.145,-32.72
2.75,-33.07,-34.097,-28.91
3.3,-34.49,-33.188,-31.03
3.85,-35.24,-32.195,-32.15
4.4,-34.17,-31.128,-30.55
4.95,-35.11,-30.12,-31.96
5.5,-34.37,-29.028,-30.85
6.05,-34.4,-27.973,-30.9
6.6,-34.48,-26.898,-31.01
7.15,-35.28,-25.798,-32.21
7.7,-37.06,-24.613,-34.87
8.25,-35.41,-23.171,-32.4
8.8,-37.21,-21.93,-35.09
9.35,-34.24,-20.411,-30.66
9.9,-33.67,-19.231,-29.81
10.45,-36.44,-18.068,-33.94
11.0,-33.35,-16.603,-29.33
11.55,-35.3,-15.416,-32.24
12.1,-34.06,-14.054,-30.39
12.65,-34.72,-12.784,-31.37
13.2,-36.51,-11.436,-34.04
13.75,-34.72,-9.831,-31.37
14.3,-36.47,-8.442,-33.99
14.85,-35.63,-6.811,-32.73
15.4,-34.45,-5.302,-30.97
15.95,-35.36,-3.916,-32.33
16.5,-35.38,-2.427,-32.36
17.05,-35.26,-0.927,-32.18
17.6,-37.49,0.565,-35.51
18.15,-35.29,2.458,-32.22
18.7,-33.95,3.968,-30.22
19.25,-33.42,5.354,-29.43
19.8,-35.19,6.712,-32.07
20.35,-33.93,8.233,-30.19
20.9,-34.89,9.638,-31.63
21.45,-33.74,11.139,-29.91
22.0,-36.16,12.543,-33.52
22.55,-34.63,14.235,-31.24
23.1,-33.28,15.73,-29.22
23.65,-34.47,17.127,-31.0
24.2,-33.43,18.62,-29.45
24.75,-35.35,20.038,-32.31
25.3,-32.45,21.647,-27.99
25.85,-35.1,23.034,-31.94
26.4,-36.28,24.626,-33.7
26.95,-35.06,26.405,-31.88
27.5,-36.59,28.006,-34.16
28.05,-35.21,29.862,-32.1
28.6,-35.55,31.498,-32.61
29.15,-33.2,33.188,-29.1
29.7,-36.08,34.654,-33.4
30.25,-36.09,36.446,-33.42
30.8,-35.18,38.249,-32.06
31.35,-33.73,39.918,-29.9
31.9,-34.5,41.446,-31.04
32.45,-37.43,43.049,-35.42
33.0,-35.73,45.183,-32.88
33.55,-34.94,46.964,-31.7
34.1,-35.39,48.64,-32.37
34.65,-35.04,50.384,-31.85
35.2,-35.46,52.087,-32.48
35.75,-34.74,53.857,-31.4
36.3,-35.18,55.538,-32.06
36.85,-35.05,57.282,-31.87
37.4,-36.53,59.016,-34.07
37.95,-34.89,61.01,-31.63
38.5,-34.68,62.74,-31.31
39.05,-34.93,64.45,-31.69
39.6,-35.22,66.2,-32.12
40.15,-35.92,67.99,-33.16
40.7,-34.89,69.91,-31.63
41.25,-34.85,71.67,-31.57
41.8,-34.77,73.44,-31.45
42.35,-34.94,75.2,-31.7
42.9,-34.67,76.99,-31.3
43.45,-34.24,78.75,-30.66
44.0,-35.65,80.48,-32.76
44.55,-36.26,82.4,-33.67
45.1,-36.77,84.44,-34.43
45.65,-34.97,86.61,-31.75
46.2,-35.37,88.45,-32.34
46.75,-34.46,90.35,-30.99
47.3,-35.45,92.14,-32.46
47.85,-35.82,94.07,-33.01
48.4,-35.42,96.07,-32.42
48.95,-33.89,98.01,-30.13
49.5,-34.72,99.77,-31.37
50.05,-35.5,101.62,-32.54
50.6,-35.95,103.59,-33.21
51.15,-35.11,105.66,-31.96
51.7,-34.78,107.58,-31.46
52.25,-34.09,109.47,-30.43
52.8,-34.19,111.28,-30.58
53.35,-38.19,113.1,-36.55
53.9,-34.51,115.85,-31.06
54.45,-35.33,117.72,-32.28
55.0,-35.37,119.72,-32.34
55.55,-34.24,121.74,-30.66
56.1,-35.79,123.6,-32.97
56.65,-35.57,125.7,-32.64
57.2,-34.8,127.77,-31.49
57.75,-34.68,129.72,-31.31
58.3,-35.69,131.66,-32.82
58.85,-34.69,133.77,-31.33
59.4,-35.33,135.72,-32.28
59.95,-34.86,137.78,-31.58
60.5,-34.61,139.77,-31.21
61.05,-34.63,141.73,-31.24
61.6,-34.0,143.7,-30.3
62.15,-34.54,145.6,-31.1
62.7,-34.65,147.57,-31.27
63.25,-35.72,149.55,-32.87
63.8,-35.66,151.73,-32.78
64.35,-34.16,153.89,-30.54
64.9,-34.64,155.84,-31.25
65.45,-34.6,157.84,-31.19
66.0,-34.26,159.85,-30.69
66.55,-33.26,161.82,-29.19
67.1,-34.46,163.7,-30.99
67.65,-35.16,165.71,-32.03
68.2,-35.82,167.82,-33.01
68.75,-36.13,170.07,-33.48
69.3,-34.55,172.39,-31.12
69.85,-35.27,174.42,-32.19
