Bag,ztop,Age,Deuterium,Temperature
13.0,45449.0,38.37379,-390.9,0.88
16.0,45870.0,64.41511,-394.1,0.35
17.0,45512.0,73.15077,-398.7,-0.42
18.0,13028.0,81.93244,-395.9,0.05
19.0,45544.0,90.75925,-395.9,0.05
20.0,16711.0,99.97031,-399.3,-0.52
21.0,11.0,109.88879,-391.4,0.79
22.0,20394.0,119.25888,-399.5,-0.55
23.0,45303.0,129.40378,-402.9,-1.11
24.0,24077.0,139.93889,-393.9,0.38
25.0,45335.0,150.10205,-398.6,-0.4
27.0,45365.0,171.01834,-394.5,0.28
28.0,14.85,181.44466,-400.5,-0.72
29.0,45397.0,191.48283,-403.6,-1.23
30.0,15.95,201.87233,-393.1,0.51
31.0,45428.0,212.18626,-410.9,-2.44
32.0,45429.0,223.16292,-393.6,0.42
33.0,45460.0,233.73909,-391.1,0.84
34.0,18.15,244.64073,-391.9,0.71
35.0,45491.0,255.49973,-396.3,-0.02
36.0,19.25,266.61209,-397.0,-0.14
37.0,45523.0,277.77097,-404.7,-1.41
38.0,20.35,289.25006,-398.2,-0.34
39.0,45555.0,301.04303,-395.2,0.16
40.0,21.45,312.44177,-403.5,-1.22
41.0,22.0,323.85452,-398.6,-0.41
42.0,22.55,335.57825,-399.7,-0.59
43.0,45314.0,346.88129,-396.0,0.03
44.0,23.65,358.50821,-400.2,-0.67
45.0,45346.0,370.90112,-401.6,-0.9
46.0,24.75,382.87436,-405.4,-1.53
47.0,45376.0,395.18558,-399.0,-0.47
48.0,25.85,407.46558,-396.9,-0.12
49.0,45408.0,418.75491,-394.9,0.21
50.0,26.95,430.39774,-406.6,-1.73
51.0,45439.0,442.40918,-395.2,0.16
52.0,45440.0,454.09915,-395.3,0.14
53.0,45471.0,466.12518,-399.5,-0.56
54.0,29.15,478.21433,-401.0,-0.8
55.0,45502.0,490.39719,-393.6,0.42
56.0,30.25,503.05731,-410.4,-2.36
57.0,45534.0,515.651,-401.3,-0.85
58.0,31.35,528.76422,-398.3,-0.36
60.0,32.45,554.93121,-391.9,0.7
61.0,33.0,567.75421,-400.8,-0.77
63.0,34.1,593.51135,-401.4,-0.87
64.0,34.65,606.47388,-401.0,-0.81
66.0,35.75,632.04871,-390.2,0.98
67.0,36.3,644.98712,-394.5,0.27
68.0,36.85,658.25757,-401.9,-0.96
69.0,37.4,672.12836,-399.8,-0.61
70.0,37.95,686.65106,-399.9,-0.63
71.0,38.5,700.67932,-399.1,-0.49
72.0,39.05,715.02704,-401.9,-0.96
73.0,39.6,729.27771,-404.8,-1.44
74.0,40.15,744.23865,-401.6,-0.91
75.0,40.7,758.74341,-396.7,-0.1
76.0,41.25,772.40747,-397.1,-0.16
77.0,41.8,785.83618,-394.2,0.32
78.0,42.35,798.90051,-395.9,0.03
79.0,42.9,812.30737,-392.7,0.56
80.0,43.45,824.81067,-390.4,0.94
83.0,45.1,861.96991,-402.3,-1.03
84.0,45.65,875.36835,-392.5,0.59
85.0,46.2,889.09241,-404.6,-1.41
86.0,46.75,903.1662,-390.5,0.92
87.0,47.3,917.33173,-402.3,-1.03
88.0,47.85,931.97516,-400.1,-0.67
89.0,48.4,946.98193,-399.4,-0.55
90.0,48.95,961.22705,-400.6,-0.75
91.0,49.5,975.76489,-393.8,0.38
92.0,50.05,990.15808,-398.5,-0.4
93.0,50.6,1004.54004,-398.7,-0.44
94.0,51.15,1018.7851,-401.8,-0.95
95.0,51.7,1032.38147,-395.2,0.14
96.0,52.25,1046.66455,-390.1,0.99
97.0,52.8,1060.58911,-393.9,0.36
98.0,53.35,1074.79602,-400.6,-0.75
99.0,53.9,1089.0769,-400.9,-0.8
100.0,54.45,1103.7052,-391.7,0.72
101.0,55.0,1118.15979,-399.3,-0.54
103.0,56.1,1146.79089,-401.5,-0.9
104.0,56.65,1160.92249,-398.1,-0.34
105.0,57.2,1174.39355,-390.4,0.93
